family,seed,C,B,gamma,T_count,T_depth,peak_demand,mean_demand,delta_max,slack_ratio,mean_t_slack,stall,slowdown_ratio,inversion,strong_baseline_inversion,shaping_gain,strong_baseline_shaping_gain,feasible
high_compressibility,3,6,4,0,29,8,6,3.625,0,1.0,3.3448275862068964,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,3,6,5,0,29,8,6,3.625,0,1.0,3.3448275862068964,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,3,6,6,0,29,8,6,3.625,0,1.0,3.3448275862068964,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,3,6,7,0,29,8,6,3.625,0,1.0,3.3448275862068964,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,3,6,8,0,29,8,6,3.625,0,1.0,3.3448275862068964,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,3,6,9,0,29,8,6,3.625,0,1.0,3.3448275862068964,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,3,6,10,0,29,8,6,3.625,0,1.0,3.3448275862068964,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,3,6,11,0,29,8,6,3.625,0,1.0,3.3448275862068964,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,3,6,12,0,29,8,6,3.625,0,1.0,3.3448275862068964,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,3,6,13,0,29,8,6,3.625,0,1.0,3.3448275862068964,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,3,6,14,0,29,8,6,3.625,0,1.0,3.3448275862068964,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,3,6,15,0,29,8,6,3.625,0,1.0,3.3448275862068964,0,1.0,0,0,-0.25,-0.25,1
high_compressibility,3,7,0,0,29,8,6,3.625,0,1.0,3.3448275862068964,0,1.0,0,0,-0.25,-0.25,1
