workload_scope,workload_name,policy,variant_id,trace_length,total_t,peak_demand,C,B,p_acc,trial_index,T_static,T_exe,stall_cycles,stall_ratio,max_cycle_hit,mean_service
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,0.999,5,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,0.999,6,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,0.999,7,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,0.999,8,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,0.999,9,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,0.999,10,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,0.999,11,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,0.999,12,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,0.999,13,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,0.999,14,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,0.999,15,8,32,24,0.75,0,0.96875
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,0.999,16,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,0.999,17,8,31,23,0.7419354838709677,0,1.0
